timestamp,temperature
2025-06-01 00:00:00.000,11.3647
2025-06-01 00:15:00.000,11.4548
2025-06-01 00:30:00.000,11.5310
2025-06-01 00:45:00.000,11.4638
2025-06-01 01:00:00.000,11.5215
2025-06-01 01:15:00.000,11.4452
2025-06-01 01:30:00.000,11.2811
2025-06-01 01:45:00.000,11.3041
2025-06-01 02:00:00.000,11.1842
2025-06-01 02:15:00.000,11.0189
2025-06-01 02:30:00.000,10.9394
2025-06-01 02:45:00.000,10.9134
2025-06-01 03:00:00.000,11.0243
2025-06-01 03:15:00.000,11.1866
2025-06-01 03:30:00.000,11.1524
2025-06-01 03:45:00.000,11.2401
2025-06-01 04:00:00.000,11.4858
2025-06-01 04:15:00.000,11.2862
2025-06-01 04:30:00.000,11.2702
2025-06-01 04:45:00.000,11.1451
2025-06-01 05:00:00.000,10.9373
2025-06-01 05:15:00.000,10.9883
2025-06-01 05:30:00.000,11.0783
2025-06-01 05:45:00.000,11.1174
2025-06-01 06:00:00.000,10.9765
2025-06-01 06:15:00.000,10.9008
2025-06-01 06:30:00.000,10.7011
2025-06-01 06:45:00.000,10.6052
2025-06-01 07:00:00.000,10.4946
2025-06-01 07:15:00.000,10.7161
2025-06-01 07:30:00.000,10.7324
2025-06-01 07:45:00.000,10.6557
2025-06-01 08:00:00.000,10.4938
2025-06-01 08:15:00.000,10.3513
2025-06-01 08:30:00.000,10.4452
2025-06-01 08:45:00.000,10.4398
2025-06-01 09:00:00.000,10.3286
2025-06-01 09:15:00.000,10.0225
2025-06-01 09:30:00.000,9.7602
2025-06-01 09:45:00.000,9.8958
2025-06-01 10:00:00.000,9.6140
2025-06-01 10:15:00.000,9.6041
2025-06-01 10:30:00.000,9.3334
2025-06-01 10:45:00.000,9.4031
2025-06-01 11:00:00.000,9.3842
2025-06-01 11:15:00.000,9.5105
2025-06-01 11:30:00.000,9.6449
2025-06-01 11:45:00.000,9.5235
2025-06-01 12:00:00.000,9.6707
2025-06-01 12:15:00.000,9.7635
2025-06-01 12:30:00.000,10.1595
2025-06-01 12:45:00.000,10.7311
2025-06-01 13:00:00.000,10.9448
2025-06-01 13:15:00.000,11.1085
2025-06-01 13:30:00.000,11.4061
2025-06-01 13:45:00.000,11.5551
2025-06-01 14:00:00.000,11.7765
2025-06-01 14:15:00.000,12.0496
2025-06-01 14:30:00.000,12.4055
2025-06-01 14:45:00.000,12.5549
2025-06-01 15:00:00.000,12.6535
2025-06-01 15:15:00.000,12.9399
2025-06-01 15:30:00.000,13.0478
2025-06-01 15:45:00.000,13.3700
2025-06-01 16:00:00.000,13.2966
2025-06-01 16:15:00.000,13.1451
2025-06-01 16:30:00.000,13.3273
2025-06-01 16:45:00.000,13.5017
2025-06-01 17:00:00.000,13.5384
2025-06-01 17:15:00.000,13.3959
2025-06-01 17:30:00.000,13.3176
2025-06-01 17:45:00.000,13.4169
2025-06-01 18:00:00.000,13.6297
2025-06-01 18:15:00.000,13.7198
2025-06-01 18:30:00.000,13.8203
2025-06-01 18:45:00.000,13.5919
2025-06-01 19:00:00.000,13.7294
2025-06-01 19:15:00.000,13.5791
2025-06-01 19:30:00.000,13.6123
2025-06-01 19:45:00.000,13.4442
2025-06-01 20:00:00.000,13.4165
2025-06-01 20:15:00.000,13.1040
2025-06-01 20:30:00.000,12.9718
2025-06-01 20:45:00.000,12.9857
2025-06-01 21:00:00.000,13.0388
2025-06-01 21:15:00.000,12.7238
2025-06-01 21:30:00.000,12.2341
2025-06-01 21:45:00.000,11.8003
2025-06-01 22:00:00.000,11.2743
2025-06-01 22:15:00.000,10.7031
2025-06-01 22:30:00.000,10.3019
2025-06-01 22:45:00.000,10.3544
2025-06-01 23:00:00.000,10.4321
2025-06-01 23:15:00.000,10.3434
2025-06-01 23:30:00.000,10.2706
2025-06-01 23:45:00.000,10.0715
2025-06-02 00:00:00.000,9.9373
2025-06-02 00:15:00.000,9.9310
2025-06-02 00:30:00.000,9.7520
2025-06-02 00:45:00.000,9.6670
2025-06-02 01:00:00.000,9.8006
2025-06-02 01:15:00.000,9.5620
2025-06-02 01:30:00.000,9.5305
2025-06-02 01:45:00.000,9.4060
2025-06-02 02:00:00.000,9.5850
2025-06-02 02:15:00.000,9.9745
2025-06-02 02:30:00.000,10.3461
2025-06-02 02:45:00.000,10.3383
2025-06-02 03:00:00.000,10.2242
2025-06-02 03:15:00.000,10.1866
2025-06-02 03:30:00.000,9.9411
2025-06-02 03:45:00.000,9.7246
2025-06-02 04:00:00.000,10.1679
